date,connect_code,rank,rating,wins,losses
2023-10-30 11:19:53.427040,GAS#933,Silver 1,1100.00,0,0
2023-10-30 11:19:54.041309,JELO#460,Silver 3,1327.68,12,13
2023-10-30 11:19:54.658184,UTPA#957,Silver 1,1100.00,0,0
2023-10-30 11:19:55.526026,CDIZ#300,Bronze 2,834.34,1,10
2023-10-30 11:19:56.089430,JOHN#450,Silver 1,1100.00,0,0
2023-10-30 11:19:56.628115,XYZA#839,Silver 1,1100.00,0,0
2023-10-30 11:19:57.215977,BANG#478,Silver 1,1100.00,0,0
2023-10-30 11:19:58.034861,LONE#527,Silver 2,1272.12,46,57
2023-10-30 11:19:58.740125,ARI#998,Silver 1,1100.00,0,0
2023-10-30 11:19:59.478343,BEAN#252,Silver 1,1100.00,0,0
2023-10-30 11:20:00.083083,ROKI#544,Silver 1,1100.00,0,0
2023-10-30 11:20:00.975401,MULE#924,Bronze 3,971.80,62,97
2023-10-30 11:20:01.619173,OSRS#924,Silver 1,1100.00,0,0
2023-10-30 11:20:02.233767,DRHL#269,Silver 1,1100.00,0,0
2023-10-30 11:20:02.892143,GREG#311,Silver 1,1100.00,0,0
2023-10-30 11:20:03.911237,CHNG#249,Silver 1,1100.00,0,0
2023-10-30 11:20:04.486258,AYDE#955,Silver 1,1100.00,0,0
2023-10-30 11:20:05.203333,CJ#163,Silver 1,1100.00,0,0
2023-10-30 11:20:05.690851,AVAT#604,Silver 1,1100.00,0,0
2023-10-30 11:20:06.329797,JAGG#195,Silver 1,1100.00,0,0
2023-10-30 11:20:06.945222,DWAR#672,Silver 1,1100.00,0,0
2023-10-30 11:20:07.557355,BIGC#240,Silver 1,1100.00,0,0
2023-10-30 11:20:08.172496,BUSS#985,Silver 1,1100.00,0,0
2023-10-30 11:20:08.993293,PARK#384,Bronze 3,950.66,26,53
2023-10-30 11:20:09.913953,SLVR#967,Silver 1,1054.96,36,46
2023-10-30 11:20:10.426659,GORB#914,Silver 1,1100.00,0,0
2023-10-30 11:20:11.042097,ALGE#396,Silver 1,1100.00,0,0
2023-10-30 11:20:11.668230,SLIM#648,Silver 1,1100.00,0,0
2023-10-30 11:20:12.371672,BUTR#257,Silver 1,1100.00,0,0
2023-10-30 11:20:12.852084,BADA#552,Silver 2,1253.88,51,60
2023-10-30 11:20:13.497812,PXL#513,Bronze 1,644.48,4,26
2023-10-30 11:20:14.625206,ORAN#113,Silver 1,1100.00,0,0
2023-10-30 11:20:15.138271,BROO#180,Silver 1,1100.00,0,0
2023-10-30 11:20:15.750599,JIMB#454,Silver 1,1100.00,0,0
2023-10-30 11:20:16.365751,RALT#697,Silver 1,1100.00,0,0
2023-10-30 11:20:16.901646,BOWL#929,Silver 1,1100.00,0,0
2023-10-30 11:20:17.492028,UNSK#249,Silver 1,1100.00,0,0
2023-10-30 11:20:18.310779,STOO#564,Silver 1,1100.00,0,0
2023-10-30 11:20:18.823217,JAMMAN#0,Silver 2,1267.99,37,40
2023-10-30 11:20:19.500565,CHOP#934,Silver 1,1100.00,0,0
2023-10-30 11:20:20.050525,PRT#308,Silver 1,1100.00,0,0
2023-10-30 11:20:20.589677,LOBS#964,Silver 1,1100.00,0,0
2023-10-30 11:20:21.178379,SPIC#703,Silver 1,1100.00,0,0
2023-10-30 11:20:21.683412,SINAA#00,Bronze 3,1040.67,2,5
2023-10-30 11:20:22.217715,ALTO#592,Bronze 2,838.80,0,7
2023-10-30 11:20:22.872125,TUBS#505,Silver 1,1100.00,0,0
2023-10-30 11:20:23.421797,RUST#525,Silver 1,1100.00,0,0
2023-10-30 11:20:24.080257,IAMT#233,Silver 1,1081.74,0,1
2023-10-30 11:20:24.855161,RANC#109,Silver 1,1100.00,0,0
2023-10-30 11:20:25.682053,DAPR#815,Silver 1,1100.00,0,0
2023-10-30 11:20:26.503565,TILR#764,Silver 1,1100.00,0,0
2023-10-30 11:20:27.322541,FANT#497,Bronze 2,892.52,3,10
2023-10-30 11:20:28.302679,ARIA#911,Bronze 2,781.69,8,25
2023-10-30 11:20:29.045096,HAM#105,Silver 1,1100.00,0,0
2023-10-30 11:20:29.984717,MAIT#833,Silver 1,1100.00,0,0
2023-10-30 11:20:30.804321,SQZY#916,Silver 1,1100.00,0,0
2023-10-30 11:20:31.625143,THEO#236,Silver 1,1100.00,0,0
2023-10-30 11:20:32.238054,BIGO#866,Silver 1,1100.00,0,0
2023-10-30 11:20:32.852020,POYO#896,Silver 1,1100.00,0,0
2023-10-30 11:20:33.364415,UIRI#541,Silver 3,1344.52,9,8
2023-10-30 11:20:33.981580,SOAR#112,Bronze 3,1043.91,110,161
2023-10-30 11:20:34.590557,JOHU#838,Silver 1,1100.00,0,0
2023-10-30 11:20:35.618349,PANC#740,Silver 1,1100.00,0,0
2023-10-30 11:20:36.334076,FRES#330,Silver 1,1100.00,0,0
2023-10-30 11:20:37.153396,CONG#192,Bronze 3,961.89,2,7
2023-10-30 11:20:37.870046,LATE#582,Bronze 3,1025.98,79,99
2023-10-30 11:20:38.587718,PLON#490,Silver 1,1100.00,0,0
2023-10-30 11:20:39.198409,DOPA#818,Silver 1,1100.00,0,0
2023-10-30 11:20:39.918346,MIST#238,Silver 1,1100.00,0,0
2023-10-30 11:20:40.867522,KRAK#337,Silver 1,1100.00,0,0
2023-10-30 11:20:41.557516,ARCA#932,Silver 1,1100.00,0,0
2023-10-30 11:20:42.376081,DEVL#111,Bronze 3,994.32,0,2
2023-10-30 11:20:43.092484,KEYS#471,Silver 1,1100.00,0,0
2023-10-30 11:20:43.707804,KSYN#523,Bronze 2,809.98,6,22
2023-10-30 11:20:44.336997,ACAB#420,Silver 2,1299.50,22,30
2023-10-30 11:20:44.935813,BORO#584,Bronze 3,1011.78,13,21
2023-10-30 11:20:45.653043,BEAR#676,Bronze 1,579.27,4,27
2023-10-30 11:20:46.472478,BAJA#926,Silver 1,1100.00,0,0
2023-10-30 11:20:47.185945,WOLF#239,Silver 1,1078.27,0,1
2023-10-30 11:20:47.876460,RABS#827,Silver 1,1100.00,0,0
2023-10-30 11:20:48.622647,BLUM#334,Silver 1,1100.00,0,0
2023-10-30 11:20:49.237083,BARE#263,Silver 1,1100.00,0,0
2023-10-30 11:20:50.363745,RYUK#599,Platinum 1,1773.78,58,41
2023-10-30 11:20:51.180901,MJSW#653,Silver 1,1100.00,0,0
2023-10-30 11:20:51.662359,PUNC#460,Silver 1,1100.00,0,0
2023-10-30 11:20:52.309263,ZACK#721,Silver 1,1100.00,0,0
2023-10-30 11:20:52.923659,HALQ#158,Silver 1,1100.00,0,0
2023-10-30 11:20:53.640403,MATT#287,Silver 1,1167.21,42,43
2023-10-30 11:20:54.766800,QUED#216,Silver 1,1100.00,0,0
2023-10-30 11:20:55.281404,PVC#712,Bronze 3,968.25,6,14
2023-10-30 11:20:55.962664,DUST#986,Silver 1,1100.00,0,0
2023-10-30 11:20:57.839056,HECC#390,Silver 1,1100.00,0,0
2023-10-30 11:20:58.555848,LISE#655,Silver 1,1100.00,0,0
2023-10-30 11:20:59.333730,DREW#411,Silver 1,1100.00,0,0
2023-10-30 11:20:59.989347,KIRB#633,Silver 1,1100.00,0,0
2023-10-30 11:21:00.808829,CUCK#819,Silver 1,1100.00,0,0
2023-10-30 11:21:01.628052,KFC#987,Silver 1,1100.00,0,0
2023-10-30 11:21:02.243511,RAFF#669,Silver 1,1100.00,0,0
2023-10-30 11:21:03.083067,EMKA#366,Silver 1,1074.43,2,6
2023-10-30 11:21:03.880943,FOXH#262,Silver 1,1100.00,0,0
2023-10-30 11:21:04.597730,SEEB#202,Silver 1,1100.00,0,0
2023-10-30 11:21:05.178570,SKWI#677,Silver 1,1100.00,0,0
2023-10-30 11:21:05.925836,INNO#383,Silver 2,1258.28,209,234
2023-10-30 11:21:07.004779,THES#804,Silver 1,1100.00,0,0
2023-10-30 11:21:07.669883,RAND#992,Silver 1,1100.00,0,0
2023-10-30 11:21:08.268861,JAY#796,Silver 1,1100.00,0,0
2023-10-30 11:21:08.898510,RDK#155,Silver 1,1100.00,0,0
2023-10-30 11:21:09.718006,YURP#438,Silver 1,1100.00,0,0
2023-10-30 11:21:10.343088,DUMM#656,Silver 1,1100.00,0,0
2023-10-30 11:21:11.151427,THCH#910,Silver 1,1100.00,0,0
2023-10-30 11:21:11.765966,SDG#988,Silver 1,1100.00,0,0
2023-10-30 11:21:12.585203,SRL#217,Silver 1,1056.46,0,1
2023-10-30 11:21:13.097374,KARI#764,Silver 1,1100.00,0,0
2023-10-30 11:21:13.742362,TRAP#509,Silver 1,1100.00,0,0
2023-10-30 11:21:14.326098,SNES#615,Silver 1,1100.00,0,0
2023-10-30 11:21:14.940096,MAED#966,Bronze 2,807.83,1,10
2023-10-30 11:21:15.657310,LEIF#809,Silver 1,1100.00,0,0
2023-10-30 11:21:16.492729,PPR#308,Silver 1,1100.00,0,0
2023-10-30 11:21:17.044975,CG#278,Silver 1,1100.00,0,0
2023-10-30 11:21:17.807967,BRAD#567,Silver 1,1100.00,0,0
2023-10-30 11:21:18.319960,LAZL#240,Silver 1,1100.00,0,0
2023-10-30 11:21:18.823634,PSSS#248,Bronze 1,682.52,0,11
2023-10-30 11:21:19.343909,MAST#214,Bronze 3,1029.12,4,10
2023-10-30 11:21:19.831492,RS#369,Bronze 2,884.23,15,32
2023-10-30 11:21:20.470129,ARIZ#256,Silver 1,1100.00,0,0
2023-10-30 11:21:20.942074,SLYO#244,Silver 1,1100.00,0,0
2023-10-30 11:21:21.495093,REES#198,Silver 1,1100.00,0,0
2023-10-30 11:21:22.006931,SWAW#585,Silver 1,1100.00,0,0
2023-10-30 11:21:22.621582,MRWO#511,Silver 1,1100.00,0,0
2023-10-30 11:21:23.218812,GUB#558,Silver 1,1100.00,0,0
2023-10-30 11:21:23.849731,KURI#648,Bronze 1,719.90,3,19
2023-10-30 11:21:24.464057,YOUT#675,Silver 1,1100.00,0,0
2023-10-30 11:21:24.976634,SNEE#962,Silver 1,1100.00,0,0
2023-10-30 11:21:25.678703,VEL#134,Silver 1,1100.00,0,0
2023-10-30 11:21:26.409890,PHEN#959,Silver 1,1100.00,0,0
2023-10-30 11:21:26.982896,RYDA#315,Silver 1,1100.00,0,0
2023-10-30 11:21:27.915120,G6#000,Silver 1,1064.73,35,53
2023-10-30 11:21:29.029572,BNSH#490,Silver 1,1100.00,0,0
2023-10-30 11:21:29.706205,FAUS#831,Bronze 3,1040.86,0,2
2023-10-30 11:21:30.608693,JSKU#475,Silver 1,1100.00,0,0
2023-10-30 11:21:31.530136,ABK#480,Silver 1,1100.00,0,0
2023-10-30 11:21:33.373191,JTW#608,Silver 1,1100.00,0,0
2023-10-30 11:21:34.158449,TV#279,Silver 1,1100.00,0,0
2023-10-30 11:21:35.216492,HIYA#798,Silver 1,1100.00,0,0
2023-10-30 11:21:35.830743,GDAY#284,Silver 1,1100.00,0,0
2023-10-30 11:21:36.335173,THIS#678,Silver 1,1100.00,0,0
2023-10-30 11:21:36.957753,LIME#258,Silver 1,1100.00,0,0
2023-10-30 11:21:37.567358,DOGG#145,Silver 1,1169.83,88,102
2023-10-30 11:21:38.186213,CMO#937,Silver 1,1100.00,0,0
2023-10-30 11:21:38.909164,ALAN#122,Silver 1,1100.00,0,0
2023-10-30 11:21:39.619985,BTAT#671,Bronze 3,914.64,2,6
2023-10-30 11:21:40.234265,DRGA#387,Silver 1,1100.00,0,0
2023-10-30 11:21:40.848667,KNNY#435,Silver 1,1100.00,0,0
2023-10-30 11:21:41.668529,ALDI#940,Silver 1,1100.00,0,0
2023-10-30 11:21:42.384860,NJBB#299,Bronze 2,883.77,5,16
2023-10-30 11:21:43.383799,PAT#293,Silver 1,1100.00,0,0
2023-10-30 11:21:44.229716,PERD#804,Silver 1,1100.00,0,0
2023-10-30 11:21:44.809000,MNTA#260,Silver 1,1100.00,0,0
2023-10-30 11:21:45.662342,REDP#774,Silver 1,1100.00,0,0
2023-10-30 11:21:46.685505,RATS#327,Silver 1,1100.00,0,0
2023-10-30 11:21:47.607517,SUPR#937,Bronze 3,937.82,10,23
2023-10-30 11:21:48.426393,NOOS#622,Silver 1,1100.00,0,0
2023-10-30 11:21:49.143185,SCT#670,Silver 1,1100.00,0,0
2023-10-30 11:21:50.269925,ANJR#136,Bronze 3,1039.64,40,61
2023-10-30 11:21:50.987113,BLNK#280,Silver 1,1100.00,0,0
2023-10-30 11:21:51.704217,DEEZ#975,Silver 1,1100.00,0,0
2023-10-30 11:21:52.318726,WEAS#868,Bronze 3,927.87,1,7
2023-10-30 11:21:53.034841,BEEF#738,Bronze 3,1001.68,3,11
2023-10-30 11:21:53.751728,DANT#827,Silver 2,1229.94,11,10
2023-10-30 11:21:54.469174,CBM#171,Silver 1,1100.00,0,0
2023-10-30 11:21:55.079806,DOZE#854,Silver 1,1100.00,0,0
2023-10-30 11:21:56.517532,CATA#311,Silver 1,1100.00,0,0
2023-10-30 11:21:57.080614,ITSD#123,Silver 1,1100.00,0,0
2023-10-30 11:21:57.643304,HTM#704,Silver 1,1100.00,0,0
2023-10-30 11:21:58.257463,OTTO#416,Silver 1,1100.00,0,0
2023-10-30 11:21:59.074189,METZ#409,Silver 1,1100.00,0,0
2023-10-30 11:22:00.100793,NEO#276,Silver 1,1100.00,0,0
2023-10-30 11:22:01.022488,SANG#641,Silver 3,1367.53,268,318
2023-10-30 11:22:01.739532,PLUM#842,Silver 1,1100.00,0,0
2023-10-30 11:22:02.763438,JOV#367,Silver 1,1069.13,3,8
2023-10-30 11:22:03.846341,JWAL#172,Silver 1,1100.00,0,0
2023-10-30 11:22:04.504828,ODD#5627,Silver 1,1100.00,0,0
2023-10-30 11:22:05.936398,SWAG#769,Bronze 1,761.37,5,22
2023-10-30 11:22:07.166571,BEES#144,Silver 1,1100.00,0,0
2023-10-30 11:22:08.906049,NEEK#313,Silver 1,1100.00,0,0
2023-10-30 11:22:09.541344,PUDM#823,Bronze 3,927.54,0,3
2023-10-30 11:22:09.897799,MOOF#949,,,,
2023-10-30 11:22:11.087067,PAUL#846,Silver 1,1100.00,0,0
2023-10-30 11:22:12.082026,THC#116,Silver 1,1100.00,0,0
2023-10-30 11:22:14.232366,AI#141,Silver 1,1100.00,0,0
2023-10-30 11:22:14.845303,SASA#409,Silver 1,1100.00,0,0
2023-10-30 11:22:15.632863,BAG#0,Silver 1,1100.00,0,0
2023-10-30 11:22:16.587859,JUST#481,Bronze 1,695.36,207,520
2023-10-30 11:22:17.407754,FUUS#693,Silver 1,1100.00,0,0
2023-10-30 11:22:18.123921,DAGG#645,Silver 1,1187.70,9,10
2023-10-30 11:22:19.047718,SMKY#144,Silver 1,1100.00,0,0
2023-10-30 11:22:19.967788,FRQI#662,Silver 1,1100.00,0,0
2023-10-30 11:22:21.415035,RIPE#844,Silver 1,1100.00,0,0
2023-10-30 11:22:22.089823,TFW#256,Bronze 1,625.65,3,24
2023-10-30 11:22:23.243767,CRON#984,Silver 3,1405.14,249,260
2023-10-30 11:22:23.987814,CAYN#699,Silver 1,1100.00,0,0
2023-10-30 11:22:24.879168,MATS#129,Silver 1,1100.00,0,0
2023-10-30 11:22:26.111205,SKEL#562,Silver 1,1100.00,0,0
2023-10-30 11:22:27.235314,VULF#322,Silver 1,1100.00,0,0
2023-10-30 11:22:29.286802,PASI#249,Silver 1,1100.00,0,0
2023-10-30 11:22:30.207626,MATH#343,Silver 1,1100.00,0,0
2023-10-30 11:22:32.050609,UZIS#757,Silver 1,1100.00,0,0
2023-10-30 11:22:32.767748,LUNO#472,Silver 1,1100.00,0,0
2023-10-30 11:22:34.098980,FALL#807,Silver 1,1100.00,0,0
2023-10-30 11:22:35.225441,SPLA#482,Bronze 3,992.73,5,11
2023-10-30 11:22:36.351854,KEN#101,Silver 1,1135.53,38,55
2023-10-30 11:22:37.068875,JEEB#976,Silver 1,1152.16,53,57
2023-10-30 11:22:37.802368,HAMM#946,Silver 1,1100.00,0,0
2023-10-30 11:22:38.707161,ATT#749,Silver 1,1100.00,0,0
2023-10-30 11:22:40.448009,SAUS#658,Silver 1,1100.00,0,0
2023-10-30 11:22:41.472027,CAMB#120,Silver 1,1060.08,0,1
2023-10-30 11:22:43.110459,MTMA#813,Silver 1,1100.00,0,0
2023-10-30 11:22:43.929645,JROC#862,Bronze 3,974.07,0,3
2023-10-30 11:22:45.568003,MYKI#195,Silver 1,1100.00,0,0
2023-10-30 11:22:46.899699,DODA#160,Silver 1,1100.00,0,0
2023-10-30 11:22:47.923301,SLOH#889,Silver 1,1100.00,0,0
2023-10-30 11:22:48.743703,GUNK#1,Bronze 3,1030.81,71,106
2023-10-30 11:22:49.562114,RIOR#942,Bronze 3,957.53,0,4
2023-10-30 11:22:50.074230,JRWH#143,Bronze 3,1004.87,22,31
2023-10-30 11:22:50.606071,MAJN#691,Silver 1,1100.00,0,0
2023-10-30 11:22:51.413251,NAC#872,Silver 1,1100.00,0,0
2023-10-30 11:22:52.122292,GLHF#413,Silver 1,1100.00,0,0
2023-10-30 11:22:53.042165,AELA#770,Silver 1,1100.00,0,0
2023-10-30 11:22:53.863944,DENN#289,Silver 1,1100.00,0,0
2023-10-30 11:22:54.784583,GRUB#461,Silver 1,1100.00,0,0
2023-10-30 11:22:55.399030,TDN#319,Bronze 3,995.49,0,2
2023-10-30 11:22:56.095740,GRUN#869,Silver 2,1311.87,15,16
2023-10-30 11:22:56.734489,KOA#516,Bronze 1,740.22,11,39
2023-10-30 11:22:57.960090,TABL#3,Silver 1,1100.00,0,0
2023-10-30 11:22:58.675999,UNUS#493,Silver 1,1100.00,0,0
2023-10-30 11:22:59.454897,SNAR#173,Bronze 2,887.33,18,41
2023-10-30 11:23:00.722399,RETR#708,Bronze 3,937.09,9,23
2023-10-30 11:23:01.850445,THED#206,Silver 1,1100.00,0,0
2023-10-30 11:23:02.772006,DERF#123,Silver 1,1100.00,0,0
2023-10-30 11:23:04.615968,WULF#385,Silver 1,1100.00,0,0
2023-10-30 11:23:05.228541,GORI#612,Silver 3,1396.98,12,13
2023-10-30 11:23:05.845444,BIMB#0,Silver 3,1394.19,105,110
2023-10-30 11:23:08.174824,ABV#100,Bronze 1,751.69,0,10
2023-10-30 11:23:09.015236,TRUCK#1,Bronze 3,1037.82,4,10
2023-10-30 11:23:10.145433,JOM#979,Silver 1,1100.00,0,0
2023-10-30 11:23:10.998497,GANO#624,Silver 1,1100.00,0,0
2023-10-30 11:23:12.296994,DEWY#627,Silver 1,1100.00,0,0
2023-10-30 11:23:13.727393,EPSI#471,Silver 1,1100.00,0,0
2023-10-30 11:23:14.341298,OOPS#622,Silver 1,1100.00,0,0
2023-10-30 11:23:14.862919,JIMM#332,Silver 1,1100.00,0,0
2023-10-30 11:23:15.572858,CRIS#829,Silver 1,1100.00,0,0
2023-10-30 11:23:16.596401,SIKO#938,Silver 1,1100.00,0,0
2023-10-30 11:23:17.417453,SAMA#239,Silver 1,1100.00,0,0
2023-10-30 11:23:18.337556,DAVY#903,Silver 3,1365.91,469,463
2023-10-30 11:23:20.078424,JAUN#397,Silver 1,1100.00,0,0
2023-10-30 11:23:20.897423,RAKI#408,Silver 1,1100.00,0,0
2023-10-30 11:23:21.871361,MFB#340,Bronze 3,929.68,7,17
2023-10-30 11:23:22.942487,WALR#780,Silver 1,1100.00,0,0
2023-10-30 11:23:23.969864,PIP#241,Silver 1,1100.00,0,0
2023-10-30 11:23:24.891347,MELEE#0,Silver 1,1100.00,0,0
2023-10-30 11:23:25.609132,COLG#558,Silver 1,1100.00,0,0
2023-10-30 11:23:26.837082,NDER#564,Silver 1,1100.00,0,0
2023-10-30 11:23:28.065968,YORT#120,Silver 2,1204.30,35,37
2023-10-30 11:23:28.987491,PANT#743,Silver 1,1100.00,0,0
2023-10-30 11:23:29.705369,PPFL#360,Silver 1,1100.00,0,0
2023-10-30 11:23:30.421613,KARK#241,Bronze 2,892.77,183,389
2023-10-30 11:23:31.138153,OPEL#790,Silver 1,1100.00,0,0
2023-10-30 11:23:32.674071,SRNE#166,Silver 1,1100.00,0,0
2023-10-30 11:23:33.391225,INK#253,Silver 1,1100.00,0,0
2023-10-30 11:23:34.414169,PONY#942,Silver 1,1100.00,0,0
2023-10-30 11:23:35.439030,ACID#420,Silver 1,1100.00,0,0
2023-10-30 11:23:36.258316,SSBM#858,Silver 1,1100.00,0,0
2023-10-30 11:23:36.975055,YRAV#998,Silver 1,1100.00,0,0
2023-10-30 11:23:37.589545,RYAN#308,Silver 1,1100.00,0,0
2023-10-30 11:23:38.613904,FUNY#528,Silver 1,1100.00,0,0
2023-10-30 11:23:39.401669,SIWI#909,Bronze 3,1022.79,0,2
2023-10-30 11:23:39.973837,TRIP#628,Bronze 3,920.61,147,196
2023-10-30 11:23:40.661641,AXSM#246,Silver 1,1100.00,0,0
2023-10-30 11:23:41.480444,CUEK#194,Bronze 3,973.28,0,3
2023-10-30 11:23:42.401444,DEW#556,Silver 1,1100.00,0,0
2023-10-30 11:23:43.119050,UGH#142,Bronze 3,983.40,1,5
2023-10-30 11:23:43.938608,AZA#498,Silver 1,1100.00,0,0
2023-10-30 11:23:44.859812,VERY#662,Silver 1,1100.00,0,0
2023-10-30 11:23:45.951852,BRUH#635,Silver 1,1100.00,0,0
2023-10-30 11:23:47.010627,SPOR#831,Silver 1,1100.00,0,0
2023-10-30 11:23:48.440324,BUBA#943,Silver 1,1100.00,0,0
2023-10-30 11:23:49.668424,ACE#564,Silver 1,1100.00,0,0
2023-10-30 11:23:50.492369,DILF#726,Silver 1,1100.00,0,0
2023-10-30 11:23:51.297109,POOP#119,Silver 2,1190.02,43,43
2023-10-30 11:23:52.091988,TENE#560,Silver 1,1086.56,1,2
2023-10-30 11:23:52.684315,LUKW#930,Bronze 3,1003.77,0,2
2023-10-30 11:23:53.359786,PROF#520,Silver 1,1100.00,0,0
2023-10-30 11:23:54.020101,DAIR#797,Silver 1,1100.00,0,0
2023-10-30 11:23:54.793143,KAP#690,Silver 1,1056.18,84,114
2023-10-30 11:23:55.817443,PIZZ#837,Bronze 2,806.52,2,15
2023-10-30 11:23:56.943919,MKEN#518,Silver 1,1100.00,0,0
2023-10-30 11:23:57.661377,MIPS#251,Silver 1,1100.00,0,0
2023-10-30 11:23:58.582324,FROG#587,Silver 1,1100.00,0,0
2023-10-30 11:24:00.117753,SNAI#890,Silver 1,1100.00,0,0
2023-10-30 11:24:00.630526,CAPT#168,Gold 3,1666.10,172,176
2023-10-30 11:24:01.450725,KNEE#997,Silver 1,1100.00,0,0
2023-10-30 11:24:02.166089,VIDE#406,Silver 1,1100.00,0,0
2023-10-30 11:24:02.883291,BALL#846,Silver 1,1100.00,0,0
2023-10-30 11:24:03.766539,UPTI#767,Silver 1,1100.00,0,0
2023-10-30 11:24:04.522563,ITS#233,Silver 1,1100.00,0,0
2023-10-30 11:24:06.365303,WIND#633,Silver 1,1100.00,0,0
2023-10-30 11:24:07.082056,RBUD#867,Silver 1,1100.00,0,0
2023-10-30 11:24:08.720562,KALV#226,Silver 1,1100.00,0,0
2023-10-30 11:24:09.539654,WEEN#751,Silver 1,1100.00,0,0
2023-10-30 11:24:11.585953,ORAH#437,Silver 1,1100.00,0,0
2023-10-30 11:24:12.611754,SLY#632,Bronze 3,1045.62,64,99
2023-10-30 11:24:13.861456,THED#352,Silver 1,1100.00,0,0
2023-10-30 11:24:14.864925,NOUN#939,Silver 1,1100.00,0,0
2023-10-30 11:24:15.787294,LEEP#557,Silver 1,1100.00,0,0
2023-10-30 11:24:16.810725,PART#745,Silver 1,1100.00,0,0
2023-10-30 11:24:18.038695,POIB#987,Silver 1,1100.00,0,0
2023-10-30 11:24:19.369921,ETOH#669,Silver 1,1100.00,0,0
2023-10-30 11:24:20.598777,DOAN#556,Silver 1,1100.00,0,0
2023-10-30 11:24:21.520210,9#1,Silver 1,1100.00,0,0
2023-10-30 11:24:24.284037,IRON#913,Silver 1,1100.00,0,0
2023-10-30 11:24:25.305753,TFB#550,Silver 1,1100.00,0,0
2023-10-30 11:24:26.230843,CHEN#650,Silver 1,1100.00,0,0
2023-10-30 11:24:27.850265,LMT#156,Silver 1,1100.00,0,0
2023-10-30 11:24:29.405051,JOSH#697,Silver 1,1100.00,0,0
2023-10-30 11:24:30.975944,EZGG#664,Silver 1,1100.00,0,0
2023-10-30 11:24:32.272821,NOCK#582,Silver 1,1100.00,0,0
2023-10-30 11:24:33.707131,SHOE#186,Silver 1,1100.00,0,0
2023-10-30 11:24:35.344441,GARY#302,Silver 1,1100.00,0,0
2023-10-30 11:24:36.574490,DEF#115,Silver 1,1100.00,0,0
2023-10-30 11:24:37.288173,NOVA#264,Silver 1,1100.00,0,0
2023-10-30 11:24:38.928736,ANGY#239,Silver 1,1100.00,0,0
2023-10-30 11:24:39.748015,RYU#432,Silver 1,1100.00,0,0
2023-10-30 11:24:41.591755,EURE#353,Silver 1,1100.00,0,0
2023-10-30 11:24:42.512799,ROFL#957,Silver 1,1100.00,0,0
2023-10-30 11:24:43.435299,OPAI#684,Silver 1,1100.00,0,0
2023-10-30 11:24:44.151578,ZION#839,Silver 1,1100.00,0,0
2023-10-30 11:24:45.070155,NYTE#159,Silver 1,1100.00,0,0
2023-10-30 11:24:45.687435,KEEF#1,Silver 1,1055.30,0,1
2023-10-30 11:24:46.917311,WEED#11,Bronze 2,892.45,1,7
2023-10-30 11:24:47.940254,DYLA#296,Silver 1,1100.00,0,0
2023-10-30 11:24:48.861724,DEKG#613,Silver 1,1100.00,0,0
2023-10-30 11:24:49.784004,BLOC#445,Silver 1,1100.00,0,0
2023-10-30 11:24:50.397845,NOT#943,Bronze 3,985.33,20,34
2023-10-30 11:24:51.217328,FL#807,Silver 1,1100.00,0,0
2023-10-30 11:24:52.242152,JUST#143,Silver 1,1100.00,0,0
2023-10-30 11:24:53.059487,BUTT#899,Bronze 1,758.16,33,93
2023-10-30 11:24:54.289589,ALAK#885,Silver 1,1100.00,0,0
2023-10-30 11:24:54.955923,MEAR#533,Silver 1,1100.00,0,0
2023-10-30 11:24:55.722282,SHYV#905,Silver 1,1085.45,11,16
2023-10-30 11:24:56.543080,HVFN#199,Silver 1,1100.00,0,0
2023-10-30 11:24:57.398361,RYRY#107,Bronze 3,1028.87,28,38
2023-10-30 11:24:58.079071,SHAN#798,Silver 1,1100.00,0,0
2023-10-30 11:24:58.797041,SAME#399,Bronze 3,996.37,17,24
2023-10-30 11:24:59.708777,LAMB#251,Bronze 3,1053.77,0,1
2023-10-30 11:25:01.458488,HADI#667,Bronze 3,980.32,81,104
2023-10-30 11:25:02.584826,HDS#616,Silver 1,1100.00,0,0
2023-10-30 11:25:03.404147,MBVS#908,Silver 1,1100.00,0,0
2023-10-30 11:25:04.530464,PROT#601,Silver 1,1100.00,0,0
2023-10-30 11:25:05.367423,NN#743,Bronze 3,964.00,8,18
2023-10-30 11:25:06.066450,JOHN#831,Silver 1,1100.00,0,0
2023-10-30 11:25:07.399044,DAIM#938,Silver 1,1100.00,0,0
2023-10-30 11:25:08.421556,SACH#125,Silver 1,1100.00,0,0
2023-10-30 11:25:09.343478,TATT#984,Bronze 1,734.94,2,15
2023-10-30 11:25:10.775052,SLIP#346,Silver 1,1100.00,0,0
2023-10-30 11:25:11.903377,REAG#132,Silver 1,1080.28,1,3
2023-10-30 11:25:13.029712,CONN#175,Silver 1,1100.00,0,0
2023-10-30 11:25:14.361683,NASH#114,Silver 1,1100.00,0,0
2023-10-30 11:25:15.590219,ADAM#870,Silver 1,1157.82,1,1
2023-10-30 11:25:16.614125,COLD#327,Silver 1,1100.00,0,0
2023-10-30 11:25:17.315397,BOYZ#925,Bronze 3,1007.70,22,34
2023-10-30 11:25:18.376366,DAHI#467,Bronze 3,954.42,0,3
2023-10-30 11:25:19.174452,QUAD#870,Silver 1,1100.00,0,0
